channel,svm_loo_accuracy,svm_loo_balanced_accuracy,svm_loo_auc,svm_kfold_accuracy,svm_kfold_balanced_accuracy,svm_kfold_auc,multirocket_accuracy,multirocket_balanced_accuracy,hc2_accuracy,hc2_balanced_accuracy
5,0.5523809523809524,0.5332905355832722,0.405997798972854,0.5190476190476191,0.4990829053558328,0.4807410124724871,0.7904761904761904,0.7861335289801907,0.780952380952381,0.7734776228906823
20,0.4857142857142857,0.4689104915627292,0.4756969919295671,0.4761904761904761,0.4592809977989728,0.5765315480557593,0.7428571428571429,0.7379860601614087,0.719047619047619,0.7083639031548056
21,0.5238095238095238,0.505410858400587,0.3715150403521643,0.5380952380952381,0.5143066764490096,0.4847762289068232,0.7285714285714285,0.72001100513573,0.7476190476190476,0.7342259721203228
22,0.5047619047619047,0.4831254585473221,0.5542920029347029,0.5142857142857142,0.4937637564196625,0.5674981658107118,0.7523809523809524,0.7506419662509172,0.7428571428571429,0.7289068231841526
23,0.5428571428571428,0.5196258253851798,0.5131144534115921,0.5333333333333333,0.5069699192956713,0.5455337490829054,0.7571428571428571,0.7539435069699193,0.7428571428571429,0.7309244314013206
24,0.5238095238095238,0.507428466617755,0.3676632428466618,0.5190476190476191,0.4980741012472487,0.5294387380777696,0.7285714285714285,0.7250550256786501,0.7714285714285715,0.7608217168011738
25,0.4809523809523809,0.4676265590608951,0.2026779163609684,0.4904761904761904,0.4772560528246515,0.4341067498165811,0.719047619047619,0.7164343360234777,0.6619047619047619,0.6505869405722671
27,0.4904761904761904,0.4802824651504035,0.4256236243580338,0.5190476190476191,0.5051357300073368,0.5166911225238444,0.6761904761904762,0.6675531914893618,0.7238095238095238,0.7076302274394717
26,0.5428571428571428,0.5266874541452677,0.3273110785033015,0.5666666666666667,0.5472303741746148,0.4465333822450477,0.7238095238095238,0.7217534849596479,0.6190476190476191,0.6027146001467352
38,0.4809523809523809,0.463591342626559,0.505685986793837,0.4904761904761904,0.4732208363903155,0.5725880410858399,0.7047619047619048,0.700476889214967,0.7333333333333333,0.7233125458547323
32,0.5142857142857142,0.4977989728539985,0.3559244314013206,0.5190476190476191,0.5061445341159208,0.4636830520909757,0.7047619047619048,0.698459280997799,0.7,0.6870873074101247
33,0.4476190476190476,0.4324101247248716,0.5879035216434336,0.4523809523809524,0.4336940572267057,0.5796955245781364,0.7333333333333333,0.7303741746148202,0.680952380952381,0.6627842993396919
30,0.5095238095238095,0.4894534115920763,0.4401137197358767,0.4904761904761904,0.4661592076302274,0.4803283198826119,0.7380952380952381,0.7346845194424065,0.7619047619047619,0.7501834189288334
34,0.4380952380952381,0.4268158473954512,0.5714875275128393,0.4428571428571428,0.4240645634629493,0.61995597945708,0.7238095238095238,0.7146918561995598,0.7095238095238096,0.6936903888481292
37,0.5047619047619047,0.4831254585473221,0.409024211298606,0.5238095238095238,0.4993580337490829,0.4870689655172414,0.7619047619047619,0.7572450476889214,0.780952380952381,0.7714600146735142
36,0.5,0.4808327219369039,0.4927549523110784,0.4904761904761904,0.4671680117388114,0.5277879677182685,0.7761904761904762,0.7762289068231841,0.7047619047619048,0.6934152604548789
35,0.5142857142857142,0.4977989728539985,0.5025678650036685,0.5142857142857142,0.4967901687454145,0.5103173147468819,0.7523809523809524,0.744589141599413,0.7380952380952381,0.7256052824651504
28,0.4666666666666667,0.4506603081438004,0.5091709464416727,0.4476190476190476,0.4334189288334556,0.5381969919295672,0.6952380952380952,0.6918561995597945,0.719047619047619,0.7053374908290535
29,0.4857142857142857,0.4689104915627292,0.5019258987527513,0.4666666666666667,0.4486426999266324,0.5232024944974322,0.7666666666666667,0.7635730007336757,0.7571428571428571,0.7458730741012473
31,0.5523809523809524,0.5342993396918562,0.4092993396918561,0.5428571428571428,0.5226522377109317,0.4537784299339692,0.680952380952381,0.67993396918562,0.7333333333333333,0.7182685253118122
40,0.5285714285714286,0.5097212032281732,0.4591892883345561,0.5047619047619047,0.4891782831988261,0.473541819515774,0.7476190476190476,0.7422964049889949,0.7571428571428571,0.7438554658840792
39,0.4904761904761904,0.4701944240645634,0.5550256786500366,0.4809523809523809,0.4615737344093911,0.5577311078503302,0.6761904761904762,0.6695707997065297,0.6761904761904762,0.6594827586206897
41,0.5714285714285714,0.553558327219369,0.3765590608950843,0.5571428571428572,0.5376008804108584,0.4787692589875275,0.7047619047619048,0.7014856933235509,0.6857142857142857,0.6751650770359501
42,0.4761904761904761,0.4572633895818049,0.4388297872340426,0.4761904761904761,0.4532281731474688,0.428053925165077,0.7571428571428571,0.7539435069699193,0.8095238095238095,0.8013573000733676
43,0.4619047619047619,0.4493763756419662,0.5295763022743948,0.4714285714285714,0.4539618488628026,0.4990829053558328,0.7285714285714285,0.727072633895818,0.780952380952381,0.7765040352164343
44,0.4952380952380952,0.4785399853264857,0.4438738077769625,0.4904761904761904,0.4762472487160675,0.5109134262655906,0.7619047619047619,0.7542186353631695,0.7285714285714285,0.713958180484226
45,0.5190476190476191,0.5041269258987527,0.331392149669846,0.4904761904761904,0.4802824651504035,0.4756052824651504,0.6238095238095238,0.6171129860601614,0.6619047619047619,0.641507703595011
49,0.5095238095238095,0.4944974321349963,0.4355282465150403,0.5047619047619047,0.4932134996331621,0.4490095377842993,0.7476190476190476,0.7503668378576669,0.7904761904761904,0.7820983125458547
46,0.5761904761904761,0.5548422597212033,0.3855465884079236,0.5571428571428572,0.5355832721936904,0.4490095377842993,0.6714285714285714,0.6672780630961115,0.6952380952380952,0.6827769625825385
47,0.4857142857142857,0.4689104915627292,0.2356933235509904,0.4857142857142857,0.4658840792369773,0.4257153338224504,0.7,0.6911225238444607,0.7380952380952381,0.7276228906823183
54,0.5095238095238095,0.4894534115920763,0.4095744680851064,0.5333333333333333,0.5089875275128394,0.4937637564196624,0.7761904761904762,0.7772377109317682,0.6904761904761905,0.6764490095377842
51,0.5619047619047619,0.5398936170212766,0.2894350696991929,0.580952380952381,0.5541085840058694,0.4663426265590609,0.6904761904761905,0.6865370506236244,0.6952380952380952,0.6878209831254585
55,0.5238095238095238,0.4993580337490829,0.1582905355832722,0.5380952380952381,0.5082538517975055,0.4712949376375642,0.7095238095238096,0.7098312545854732,0.7666666666666667,0.7514673514306677
48,0.5142857142857142,0.4998165810711665,0.4014123257520176,0.5190476190476191,0.5041269258987527,0.4359409391049156,0.7571428571428571,0.7539435069699193,0.7142857142857143,0.7040535583272194
56,0.5095238095238095,0.4914710198092443,0.419479090242113,0.5476190476190477,0.530997798972854,0.4957813646368305,0.680952380952381,0.6728723404255319,0.7714285714285715,0.7588041085840058
53,0.4714285714285714,0.4519442406456346,0.4460748349229639,0.4571428571428571,0.431951577402788,0.4756969919295672,0.7666666666666667,0.7635730007336757,0.7571428571428571,0.7458730741012473
52,0.5380952380952381,0.5132978723404256,0.0932685253118121,0.5285714285714286,0.5006419662509172,0.4815205429200293,0.719047619047619,0.7164343360234777,0.7333333333333333,0.7223037417461482
59,0.4857142857142857,0.4608400586940572,0.5520909757887014,0.5333333333333333,0.5019258987527513,0.5061445341159208,0.7476190476190476,0.7453228173147469,0.7476190476190476,0.7422964049889949
60,0.4904761904761904,0.4671680117388114,0.5336573734409391,0.5142857142857142,0.4836757153338225,0.5132978723404256,0.7380952380952381,0.7377109317681585,0.8142857142857143,0.8107116654438737
58,0.5142857142857142,0.4887197358767424,0.2303741746148202,0.5761904761904761,0.5487894350696991,0.5023844460748349,0.7428571428571429,0.7389948642699926,0.7523809523809524,0.7466067498165812
50,0.5523809523809524,0.5353081438004402,0.3454695524578137,0.5047619047619047,0.4841342626559061,0.4735876742479824,0.638095238095238,0.629035216434336,0.6523809523809524,0.6389398385913426
57,0.5285714285714286,0.5097212032281732,0.3118121790168745,0.4809523809523809,0.457538517975055,0.5430575935436538,0.7047619047619048,0.700476889214967,0.7333333333333333,0.7233125458547323
61,0.5047619047619047,0.481107850330154,0.4628576669112252,0.5190476190476191,0.4920212765957447,0.495093543653705,0.8047619047619048,0.8020909757887014,0.7238095238095238,0.7126742479823918
64,0.5333333333333333,0.5089875275128394,0.2203778429933968,0.5095238095238095,0.4823917828319882,0.4886280264123258,0.7428571428571429,0.7369772560528247,0.7761904761904762,0.7671496698459281
62,0.4761904761904761,0.4602898019075568,0.442039618488628,0.5095238095238095,0.4904622157006603,0.4952311078503301,0.7285714285714285,0.7250550256786501,0.7428571428571429,0.7289068231841526
63,0.4761904761904761,0.4592809977989728,0.3764673514306677,0.5285714285714286,0.5066947909024211,0.4954145267791636,0.6714285714285714,0.6642516507703595,0.7523809523809524,0.736518708730741
65,0.4571428571428571,0.432960381511372,0.5967993396918563,0.4857142857142857,0.4578136463683052,0.5847395451210565,0.7523809523809524,0.7506419662509172,0.7761904761904762,0.7711848862802642
66,0.4714285714285714,0.4499266324284666,0.5669937637564196,0.4952380952380952,0.4674431401320616,0.5430575935436537,0.7285714285714285,0.7250550256786501,0.7666666666666667,0.7645818048422597
67,0.5095238095238095,0.4874358033749083,0.4987619222303742,0.5,0.4747798972853999,0.5017424798239178,0.7238095238095238,0.7177182685253118,0.7476190476190476,0.7433052090975789
69,0.5380952380952381,0.5173330887747616,0.096019809244314,0.5523809523809524,0.5242112986060161,0.4970194424064563,0.6904761904761905,0.6865370506236244,0.8333333333333334,0.8239178283198827
68,0.4952380952380952,0.4745047688921496,0.4884446074834923,0.4952380952380952,0.4694607483492297,0.4936261922230374,0.7238095238095238,0.7177182685253118,0.7333333333333333,0.7293653705062363
71,0.5571428571428572,0.5325568598679384,0.4612527512839325,0.5571428571428572,0.5315480557593544,0.4910124724871607,0.719047619047619,0.7123991195891416,0.7571428571428571,0.7549523110785032
73,0.4904761904761904,0.4701944240645634,0.505685986793837,0.5380952380952381,0.5122890682318415,0.5149486426999266,0.7904761904761904,0.7901687454145268,0.861904761904762,0.8548239178283199
