feature,channel,n_subjects,n_class0,n_class1,accuracy_loo
HFD,84,47,23,24,0.2127659574468085
HFD,85,47,23,24,0.1702127659574468
HFD,86,47,23,24,0.23404255319148937
HFD,87,47,23,24,0.2553191489361702
HFD,88,47,23,24,0.5106382978723404
HFD,89,47,23,24,0.1702127659574468
HFD,90,47,23,24,0.23404255319148937
HFD,91,47,23,24,0.2553191489361702
HFD,92,47,23,24,0.1702127659574468
HFD,93,47,23,24,0.5106382978723404
HFD,94,47,23,24,0.5106382978723404
HFD,95,47,23,24,0.2765957446808511
HFD,96,47,23,24,0.2765957446808511
HFD,97,47,23,24,0.2127659574468085
HFD,98,47,23,24,0.2127659574468085
HFD,99,47,23,24,0.14893617021276595
HFD,100,47,23,24,0.425531914893617
HFD,101,47,23,24,0.2553191489361702
HFD,102,47,23,24,0.5106382978723404
HFD,103,47,23,24,0.3191489361702128
HFD,104,47,23,24,0.3191489361702128
HFD,105,47,23,24,0.23404255319148937
HFD,106,47,23,24,0.19148936170212766
HFD,107,47,23,24,0.2127659574468085
HFD,108,47,23,24,0.5106382978723404
HFD,109,47,23,24,0.46808510638297873
HFD,110,47,23,24,0.5531914893617021
HFD,111,47,23,24,0.425531914893617
HFD,112,47,23,24,0.19148936170212766
HFD,113,47,23,24,0.2978723404255319
HFD,114,47,23,24,0.40425531914893614
HFD,115,47,23,24,0.23404255319148937
HFD,116,47,23,24,0.5531914893617021
HFD,117,47,23,24,0.23404255319148937
HFD,118,47,23,24,0.0851063829787234
HFD,119,47,23,24,0.5106382978723404
HFD,120,47,23,24,0.40425531914893614
HFD,121,47,23,24,0.46808510638297873
HFD,122,47,23,24,0.3404255319148936
HFD,123,47,23,24,0.2978723404255319
HFD,124,47,23,24,0.1276595744680851
HFD,125,47,23,24,0.2765957446808511
HFD,126,47,23,24,0.19148936170212766
HFD,127,47,23,24,0.2553191489361702
HFD,128,47,23,24,0.23404255319148937
pmp+hfd,1,47,23,24,0.02127659574468085
pmp+hfd,2,47,23,24,0.0851063829787234
pmp+hfd,3,47,23,24,0.2978723404255319
pmp+hfd,4,47,23,24,0.3404255319148936
pmp+hfd,5,47,23,24,0.40425531914893614
pmp+hfd,6,47,23,24,0.44680851063829785
pmp+hfd,7,47,23,24,0.3617021276595745
pmp+hfd,8,47,23,24,0.5531914893617021
pmp+hfd,9,47,23,24,0.40425531914893614
pmp+hfd,10,47,23,24,0.14893617021276595
pmp+hfd,11,47,23,24,0.3617021276595745
pmp+hfd,12,47,23,24,0.40425531914893614
pmp+hfd,13,47,23,24,0.425531914893617
pmp+hfd,14,47,23,24,0.0
pmp+hfd,15,47,23,24,0.46808510638297873
pmp+hfd,16,47,23,24,0.1276595744680851
pmp+hfd,17,47,23,24,0.2765957446808511
pmp+hfd,18,47,23,24,0.0
pmp+hfd,19,47,23,24,0.40425531914893614
pmp+hfd,20,47,23,24,0.3829787234042553
pmp+hfd,21,47,23,24,0.3404255319148936
pmp+hfd,22,47,23,24,0.3404255319148936
pmp+hfd,23,47,23,24,0.3404255319148936
pmp+hfd,24,47,23,24,0.3829787234042553
pmp+hfd,25,47,23,24,0.2127659574468085
pmp+hfd,26,47,23,24,0.19148936170212766
pmp+hfd,27,47,23,24,0.2127659574468085
pmp+hfd,28,47,23,24,0.40425531914893614
pmp+hfd,29,47,23,24,0.3617021276595745
pmp+hfd,30,47,23,24,0.48936170212765956
pmp+hfd,31,47,23,24,0.5106382978723404
pmp+hfd,32,47,23,24,0.02127659574468085
pmp+hfd,33,47,23,24,0.10638297872340426
pmp+hfd,34,47,23,24,0.5319148936170213
pmp+hfd,35,47,23,24,0.5319148936170213
pmp+hfd,36,47,23,24,0.3617021276595745
pmp+hfd,37,47,23,24,0.48936170212765956
pmp+hfd,38,47,23,24,0.10638297872340426
pmp+hfd,39,47,23,24,0.23404255319148937
pmp+hfd,40,47,23,24,0.5106382978723404
