feature,channel,fold,accuracy,balanced_accuracy,auc,samples
pMP,69,1,0.3,0.3,0.52,47
pMP,69,2,0.5,0.5,0.7200000000000001,47
pMP,69,3,0.4444444444444444,0.5,0.44999999999999996,47
pMP,69,4,0.4444444444444444,0.4,0.55,47
pMP,69,5,0.5555555555555556,0.5,0.5,47
pMP,70,1,0.5,0.5,0.44000000000000006,47
pMP,70,2,0.6,0.6000000000000001,0.36,47
pMP,70,3,0.4444444444444444,0.5,0.5,47
pMP,70,4,0.4444444444444444,0.4,0.45,47
pMP,70,5,0.5555555555555556,0.5,0.5,47
pMP,71,1,0.5,0.5,0.44000000000000006,47
pMP,71,2,0.5,0.5,0.32,47
pMP,71,3,0.4444444444444444,0.5,0.35000000000000003,47
pMP,71,4,0.4444444444444444,0.4,0.45,47
pMP,71,5,0.5555555555555556,0.5,0.55,47
pMP,72,1,0.5,0.5,0.44000000000000006,47
pMP,72,2,0.5,0.5,0.32,47
pMP,72,3,0.4444444444444444,0.5,0.39999999999999997,47
pMP,72,4,0.4444444444444444,0.4,0.4,47
pMP,72,5,0.5555555555555556,0.5,0.5,47
pMP,73,1,0.5,0.5,0.48,47
pMP,73,2,0.5,0.5,0.23999999999999996,47
pMP,73,3,0.4444444444444444,0.425,0.44999999999999996,47
pMP,73,4,0.4444444444444444,0.4,0.5,47
pMP,73,5,0.5555555555555556,0.5,0.30000000000000004,47
pMP,74,1,0.5,0.5,0.44000000000000006,47
pMP,74,2,0.5,0.5,0.32,47
pMP,74,3,0.4444444444444444,0.5,0.5,47
pMP,74,4,0.4444444444444444,0.4,0.55,47
pMP,74,5,0.5555555555555556,0.5,0.5499999999999999,47
pMP,75,1,0.5,0.5,0.44000000000000006,47
pMP,75,2,0.5,0.5,0.32,47
pMP,75,3,0.4444444444444444,0.5,0.5,47
pMP,75,4,0.4444444444444444,0.4,0.35,47
pMP,75,5,0.5555555555555556,0.5,0.6000000000000001,47
pMP,76,1,0.5,0.5,0.31999999999999995,47
pMP,76,2,0.5,0.5,0.32,47
pMP,76,3,0.5555555555555556,0.55,0.39999999999999997,47
pMP,76,4,0.4444444444444444,0.4,0.35,47
pMP,76,5,0.5555555555555556,0.5,0.6000000000000001,47
pMP,77,1,0.4,0.4,0.36,47
pMP,77,2,0.6,0.6000000000000001,0.44000000000000006,47
pMP,77,3,0.5555555555555556,0.55,0.39999999999999997,47
pMP,77,4,0.5555555555555556,0.525,0.45,47
pMP,77,5,0.4444444444444444,0.4,0.5,47
pMP,78,1,0.4,0.4,0.44000000000000006,47
pMP,78,2,0.5,0.5,0.56,47
pMP,78,3,0.4444444444444444,0.5,0.6500000000000001,47
pMP,78,4,0.5555555555555556,0.55,0.45,47
pMP,78,5,0.5555555555555556,0.525,0.5,47
pMP,79,1,0.4,0.4,0.48,47
pMP,79,2,0.5,0.5,0.68,47
pMP,79,3,0.4444444444444444,0.5,0.5499999999999999,47
pMP,79,4,0.5555555555555556,0.525,0.45,47
pMP,79,5,0.6666666666666666,0.625,0.5,47
pMP,80,1,0.4,0.4,0.52,47
pMP,80,2,0.5,0.5,0.7200000000000001,47
pMP,80,3,0.4444444444444444,0.475,0.39999999999999997,47
pMP,80,4,0.4444444444444444,0.4,0.42500000000000004,47
pMP,80,5,0.6666666666666666,0.625,0.45,47
pMP,81,1,0.5,0.5,0.48,47
pMP,81,2,0.7,0.7,0.23999999999999996,47
pMP,81,3,0.5555555555555556,0.55,0.39999999999999997,47
pMP,81,4,0.3333333333333333,0.3,0.5499999999999999,47
pMP,81,5,0.5555555555555556,0.5,0.49999999999999994,47
pMP,82,1,0.4,0.4,0.48,47
pMP,82,2,0.5,0.5,0.32,47
pMP,82,3,0.4444444444444444,0.425,0.44999999999999996,47
pMP,82,4,0.4444444444444444,0.4,0.35000000000000003,47
pMP,82,5,0.5555555555555556,0.5,0.65,47
pMP,83,1,0.4,0.4,0.28,47
pMP,83,2,0.8,0.8,0.32,47
pMP,83,3,0.3333333333333333,0.325,0.5,47
pMP,83,4,0.4444444444444444,0.4,0.65,47
pMP,83,5,0.5555555555555556,0.5,0.65,47
pMP,84,1,0.4,0.4,0.28,47
pMP,84,2,0.8,0.8,0.32,47
pMP,84,3,0.4444444444444444,0.45,0.39999999999999997,47
pMP,84,4,0.6666666666666666,0.65,0.6000000000000001,47
pMP,84,5,0.5555555555555556,0.525,0.6,47
pMP,85,1,0.4,0.4,0.28,47
pMP,85,2,0.7,0.7,0.44000000000000006,47
pMP,85,3,0.4444444444444444,0.5,0.35,47
pMP,85,4,0.6666666666666666,0.65,0.4,47
pMP,85,5,0.5555555555555556,0.525,0.6,47
pMP,86,1,0.5,0.5,0.31999999999999995,47
pMP,86,2,0.5,0.5,0.56,47
pMP,86,3,0.4444444444444444,0.5,0.5499999999999999,47
pMP,86,4,0.4444444444444444,0.425,0.4,47
pMP,86,5,0.4444444444444444,0.5,0.45,47
pMP,87,1,0.4,0.4,0.48000000000000004,47
pMP,87,2,0.5,0.5,0.76,47
pMP,87,3,0.4444444444444444,0.5,0.35,47
pMP,87,4,0.4444444444444444,0.4,0.4,47
pMP,87,5,0.5555555555555556,0.5,0.45,47
pMP,88,1,0.5,0.5,0.42000000000000004,47
pMP,88,2,0.8,0.8,0.27999999999999997,47
pMP,88,3,0.4444444444444444,0.425,0.44999999999999996,47
pMP,88,4,0.4444444444444444,0.4,0.5,47
pMP,88,5,0.5555555555555556,0.5,0.49999999999999994,47
pMP,89,1,0.3,0.3,0.48,47
pMP,89,2,0.5,0.5,0.32,47
pMP,89,3,0.5555555555555556,0.575,0.45,47
pMP,89,4,0.4444444444444444,0.4,0.5249999999999999,47
pMP,89,5,0.6666666666666666,0.625,0.6000000000000001,47
pMP,90,1,0.4,0.4,0.44000000000000006,47
pMP,90,2,0.8,0.8,0.32,47
pMP,90,3,0.4444444444444444,0.45,0.55,47
pMP,90,4,0.4444444444444444,0.4,0.35,47
pMP,90,5,0.6666666666666666,0.625,0.55,47
pMP,91,1,0.5,0.5,0.4,47
pMP,91,2,0.8,0.8,0.32,47
pMP,91,3,0.4444444444444444,0.45,0.5,47
pMP,91,4,0.5555555555555556,0.525,0.35,47
pMP,91,5,0.5555555555555556,0.525,0.6,47
pMP,92,1,0.4,0.4,0.6400000000000001,47
pMP,92,2,0.5,0.5,0.44000000000000006,47
pMP,92,3,0.4444444444444444,0.5,0.5,47
pMP,92,4,0.4444444444444444,0.475,0.6,47
pMP,92,5,0.4444444444444444,0.5,0.5,47
pMP,93,1,0.5,0.5,0.32,47
pMP,93,2,0.5,0.5,0.48,47
pMP,93,3,0.4444444444444444,0.5,0.7,47
pMP,93,4,0.4444444444444444,0.4,0.45000000000000007,47
pMP,93,5,0.4444444444444444,0.5,0.5,47
pMP,94,1,0.5,0.5,0.32,47
pMP,94,2,0.5,0.5,0.52,47
pMP,94,3,0.4444444444444444,0.5,0.7,47
pMP,94,4,0.4444444444444444,0.4,0.45000000000000007,47
pMP,94,5,0.4444444444444444,0.5,0.5,47
pMP,95,1,0.3,0.3,0.48,47
pMP,95,2,0.5,0.5,0.36,47
pMP,95,3,0.4444444444444444,0.45,0.65,47
pMP,95,4,0.5555555555555556,0.525,0.35000000000000003,47
pMP,95,5,0.6666666666666666,0.625,0.55,47
pMP,96,1,0.5,0.5,0.44,47
pMP,96,2,0.5,0.5,0.32,47
pMP,96,3,0.3333333333333333,0.325,0.625,47
pMP,96,4,0.5555555555555556,0.525,0.45,47
pMP,96,5,0.6666666666666666,0.625,0.5,47
pMP,97,1,0.5,0.5,0.64,47
pMP,97,2,0.5,0.5,0.44000000000000006,47
pMP,97,3,0.4444444444444444,0.5,0.5,47
pMP,97,4,0.4444444444444444,0.425,0.35000000000000003,47
pMP,97,5,0.4444444444444444,0.5,0.5,47
pMP,98,1,0.5,0.5,0.6000000000000001,47
pMP,98,2,0.5,0.5,0.6400000000000001,47
pMP,98,3,0.4444444444444444,0.5,0.6,47
pMP,98,4,0.5555555555555556,0.575,0.6,47
pMP,98,5,0.4444444444444444,0.5,0.5,47
pMP,99,1,0.3,0.3,0.52,47
pMP,99,2,0.5,0.5,0.27999999999999997,47
pMP,99,3,0.3333333333333333,0.35,0.6,47
pMP,99,4,0.5555555555555556,0.525,0.45,47
pMP,99,5,0.6666666666666666,0.625,0.55,47
pMP,100,1,0.4,0.4,0.48,47
pMP,100,2,0.5,0.5,0.68,47
pMP,100,3,0.4444444444444444,0.5,0.44999999999999996,47
